V;A4 ac+rod becker 30s;C3 ac+rod becker 30s;D2 ac+rod becker 30s;E5 ac+rod becker 30s
-0,138753;-60,1923;-64,6967;-56,4752;-62,472
-0,14075;-59,7711;-64,4129;-56,1639;-62,1332
-0,142746;-59,3866;-64,0375;-55,8709;-61,7578
-0,144743;-59,0936;-63,7171;-55,5688;-61,4008
-0,146739;-58,7182;-63,2959;-55,2483;-61,117
-0,148736;-58,3703;-63,0121;-55,0103;-60,8331
-0,150732;-58,0682;-62,6917;-54,6807;-60,5035
-0,148736;-54,0856;-58,4619;-51,0185;-56,4294
-0,146739;-52,8222;-57,0703;-49,9107;-55,0469
-0,144743;-51,989;-56,2005;-49,1783;-54,2962
-0,142746;-51,2749;-55,4864;-48,7114;-53,5729
-0,14075;-50,6981;-54,8272;-48,217;-52,9503
-0,138753;-50,0755;-54,1955;-47,6951;-52,2911
-0,136757;-49,5628;-53,6278;-47,2374;-51,8517
-0,13476;-49,0227;-53,1609;-46,7613;-51,284
-0,132764;-48,5374;-52,5841;-46,2852;-50,7256
-0,130767;-48,043;-52,0623;-45,9922;-50,3044
-0,128771;-47,5944;-51,5953;-45,5619;-49,8833
-0,126775;-47,2282;-51,1101;-45,2049;-49,4347
-0,124778;-46,862;-50,6523;-44,8386;-48,9952
-0,122782;-46,3676;-50,1396;-44,445;-48,5191
-0,120785;-46,0105;-49,7459;-44,152;-48,1804
-0,118789;-45,5802;-49,3248;-43,7949;-47,7317
-0,116792;-45,2232;-48,8853;-43,4653;-47,4022
-0,114796;-44,8386;-48,4825;-43,1174;-47,0634
-0,112799;-44,4358;-48,0247;-42,8244;-46,6423
-0,110803;-44,1245;-47,6768;-42,5223;-46,3035
-0,108807;-43,7858;-47,2831;-42,211;-45,9648
-0,10681;-43,4379;-46,8711;-41,8997;-45,5894
-0,104814;-43,1449;-46,5415;-41,6434;-45,3056
-0,102817;-42,7604;-46,1845;-41,3596;-44,8844
-0,100821;-42,4308;-45,8091;-41,0758;-44,5548
-0,0988243;-42,1286;-45,4063;-40,7736;-44,1978
-0,0968278;-41,8265;-45,095;-40,5539;-43,9048
-0,0948314;-41,4969;-44,7562;-40,2701;-43,566
-0,0928349;-41,149;-44,3809;-39,968;-43,209
-0,0908385;-40,8103;-44,0238;-39,7024;-42,8519
-0,088842;-40,5447;-43,7217;-39,4919;-42,5589
-0,0868456;-40,2426;-43,4012;-39,2996;-42,2477
-0,0848491;-39,9222;-43,035;-39,0249;-41,8906
-0,0828527;-39,6017;-42,7237;-38,7411;-41,5885
-0,0808562;-39,2996;-42,3941;-38,4939;-41,2863
-0,0788598;-38,9792;-42,0371;-38,2467;-40,9751
-0,0768633;-38,7228;-41,7533;-38,0545;-40,7279
-0,0748669;-38,3841;-41,3596;-37,7798;-40,3799
-0,0728704;-38,1003;-41,0575;-37,5143;-40,0504
-0,070874;-37,7707;-40,7004;-37,2396;-39,7116
-0,0688775;-37,4411;-40,3067;-36,9375;-39,3545
-0,0668811;-37,1939;-40,032;-36,7178;-39,0799
-0,0648846;-36,91;-39,6933;-36,4431;-38,732
-0,0628882;-36,5713;-39,3179;-36,1593;-38,4115
-0,0608917;-36,2509;-38,97;-35,8938;-38,1186
-0,0588953;-35,8663;-38,5855;-35,5642;-37,7157
-0,0568988;-35,6558;-38,3383;-35,491;-37,4868
-0,0549024;-35,2804;-37,9263;-35,1614;-37,1115
-0,0529059;-34,9325;-37,5051;-34,8409;-36,7361
-0,0509095;-34,5846;-37,1023;-34,5205;-36,3973
-0,048913;-34,2275;-36,7178;-34,2092;-36,0494
-0,0469166;-33,9162;-36,3699;-33,9712;-35,7748
-0,0449201;-33,5592;-35,967;-33,6599;-35,3811
-0,0429237;-33,1472;-35,5459;-33,3303;-34,9599
-0,0409272;-32,8084;-35,1797;-33,0648;-34,612
-0,0389308;-32,3964;-34,7127;-32,7626;-34,1451
-0,0369343;-32,0485;-34,3374;-32,4971;-33,8064
-0,0349379;-31,6182;-33,9071;-32,1218;-33,3761
-0,0329414;-31,252;-33,4859;-31,783;-32,9732
-0,030945;-30,8309;-33,0465;-31,4443;-32,5795
-0,0289485;-30,4463;-32,5795;-31,0506;-32,1309
-0,0269521;-29,9794;-32,0943;-30,6661;-31,6823
-0,0249556;-29,5857;-31,7006;-30,3639;-31,2703
-0,0229592;-29,1096;-31,2154;-29,9886;-30,7942
-0,0209627;-28,6152;-30,6844;-29,5766;-30,2724
-0,0189663;-28,1392;-30,19;-29,1737;-29,8238
-0,0169698;-27,6814;-29,6956;-28,7709;-29,3477
-0,0149734;-27,1595;-29,1371;-28,3955;-28,78
-0,0129769;-26,6926;-28,6427;-27,9835;-28,2856
-0,0109805;-26,0792;-27,9652;-27,4434;-27,6722
-0,00898403;-25,6397;-27,4983;-27,068;-27,2145
-0,00698758;-25,0721;-26,8849;-26,5736;-26,6285
-0,00499113;-24,4404;-26,1891;-26,0151;-25,9602
-0,00299468;-23,9277;-25,6397;-25,5756;-25,4108
-0,000998226;-23,3051;-24,9989;-25,0538;-24,77
0,000998224;-22,6917;-24,3305;-24,5136;-24,1291
0,00299467;-22,1149;-23,6896;-24,0101;-23,5065
0,00499112;-21,3458;-22,9114;-23,3417;-22,71
0,00698757;-20,8331;-22,3438;-22,9114;-22,179
0,00898402;-20,1556;-21,6205;-22,2889;-21,4649
0,0109805;-19,4873;-20,9155;-21,7029;-20,7782
0,0129769;-18,8098;-20,2014;-21,117;-20,0824
0,0149734;-18,0499;-19,3957;-20,4395;-19,3408
0,0169698;-17,3999;-18,6999;-19,8627;-18,6542
0,0189663;-16,6674;-17,9309;-19,2218;-17,9034
0,0209627;-15,9442;-17,171;-18,5718;-17,1435
0,0229592;-15,2667;-16,4477;-17,9767;-16,4294
0,0249556;-14,4152;-15,5688;-17,2076;-15,5413
0,0269521;-13,6828;-14,8089;-16,5759;-14,7631
0,0289485;-12,8771;-13,9666;-15,8434;-13,93
0,030945;-12,1721;-13,2067;-15,2392;-13,1884
0,0329414;-11,3939;-12,4102;-14,5068;-12,3919
0,0349379;-10,5608;-11,5404;-13,7377;-11,5129
0,0369343;-9,70932;-10,6523;-12,9503;-10,634
0,0389308;-8,95857;-9,83749;-12,2362;-9,83749
0,0409272;-8,18036;-9,04097;-11,5587;-9,02266
0,0429237;-7,36553;-8,18952;-10,7897;-8,17121
0,0449201;-6,44999;-7,2282;-9,91989;-7,21904
0,0469166;-5,63516;-6,36759;-9,15999;-6,37675
0,048913;-4,76539;-5,45205;-8,336;-5,4612
0,0509095;-2,24079;-4,66468;-7,60357;-4,67384
0,0529059;-1,19982;-1,84894;-6,73381;-1,87274
0,0549024;-0,582742;-0,816205;-5,94644;-0,84184
0,0568988;0,170748;-0,105745;-5,10414;-0,137789
0,0588953;1,01854;0,747539;-2,16754;0,708171
0,0608917;1,71344;1,45251;-1,3225;1,40764
0,0628882;2,56214;2,32135;-0,716411;2,2829
0,0648846;3,46944;3,23598;0,0425727;3,21218
0,0668811;4,34653;4,15976;0,848249;4,11673
0,0688775;5,34813;5,21447;1,81781;5,18517
0,070874;6,09155;5,98444;2,51637;5,95972
0,0728704;7,0309;6,98421;3,45571;6,93385
0,0748669;7,96384;7,97299;4,39872;7,91989
0,0768633;8,93614;8,99474;5,39574;8,93156
0,0788598;9,9707;10,0705;6,46326;10,0101
0,0808562;10,8414;11,0062;7,35317;10,9403
0,0828527;11,8293;12,0307;8,37675;11,962
0,0848491;12,9554;13,2163;9,5285;13,1293
0,0868456;13,9167;14,228;10,5393;14,1163
0,088842;15,051;15,4044;11,7157;15,2854
0,0908385;16,0847;16,5104;12,8235;16,3767
0,0928349;17,2245;17,6951;14,0266;17,5496
0,0948314;18,3305;18,8753;15,203;18,7187
0,0968278;19,5061;20,1122;16,4564;19,9391
0,0988243;20,7073;21,3628;17,7546;21,187
0,100821;21,9908;22,6986;19,116;22,52
0,102817;23,2158;23,9913;20,4326;23,7871
0,104814;24,537;25,3912;21,8737;25,1659
0,10681;25,9286;26,8295;23,3541;26,5823
0,108807;27,3413;28,3484;24,9068;28,0719
0,110803;28,786;28,9357;26,4431;28,6519
0,112799;29,4667;30,4829;28,125;30,1442
0,114796;30,8675;31,9844;28,8075;31,6274
0,116792;32,5246;33,7697;30,5379;33,3669
0,118789;34,0627;35,3811;32,2042;34,9783
0,120785;35,7839;37,1939;34,0169;36,7269
0,122782;37,6242;39,1348;35,9945;38,6587
0,124778;39,4736;41,0849;37,9721;40,5447
0,126775;41,3596;43,09;40,0137;42,5132
0,128771;43,3097;45,1316;42,1103;44,5365
0,130767;45,3147;47,2557;44,271;46,6056
0,132764;47,5944;49,6452;46,7247;48,9494
0,13476;49,5903;51,7784;48,8945;51,0277
0,136757;51,8608;54,1772;51,3481;53,3806
0,138753;54,1131;56,5118;53,7194;55,7061
0,14075;56,466;58,9929;56,2554;58,1506
0,142746;58,9929;61,6663;58,9837;60,7782
0,144743;61,4374;64,2298;61,593;63,3051
0,146739;64,0192;66,949;64,3305;65,9602
0,148736;66,656;69,7139;67,1504;68,6976
0,150732;69,247;72,4422;69,9336;71,3802
0,152728;72,076;75,4086;72,9732;74,3282
0,154725;74,8592;78,3474;75,9304;77,2396
0,156721;77,8073;81,4511;79,0616;80,2792
0,158718;80,618;84,3809;82,0371;83,1998
0,160714;83,566;87,4846;85,1865;86,2577
0,162711;86,688;90,7622;88,51;89,5171
0,164707;89,8466;94,0764;91,87;92,7764
0,166704;92,9412;97,3175;95,1476;95,9716
0,1687;96,0723;100,595;98,4894;99,2309
0,170696;99,3042;103,964;101,904;102,6
0,172693;102,646;107,48;105,466;106,079
0,174689;105,978;110,95;108,972;109,531
0,176686;109,412;114,548;112,616;113,074
0,178682;112,653;117,926;116,04;116,434
0,180679;116,168;121,598;119,739;120,087
0,182675;119,611;125,196;123,374;123,676
0,184672;123,136;128,885;127,109;127,338
0,186668;126,743;132,676;130,945;131,11
0,188665;130,213;136,283;134,589;134,699
0,190661;133,783;140,018;138,379;138,425
0,192657;137,409;143,781;142,17;142,17
0,194654;141,035;147,581;145,969;145,951
0,19665;144,862;151,563;150,007;149,924
0,198647;148,304;155,152;153,632;153,495
0,200643;151,984;158,979;157,469;157,322
0,20264;155,702;162,87;161,36;161,176
0,204636;159,391;166,706;165,223;165,04
0,206633;163,145;170,607;169,169;168,949
0,208629;166,743;174,333;172,905;172,667
0,210625;170,387;178,123;176,713;176,484
0,212622;174,131;181,987;180,613;180,366
0,214618;177,711;185,686;184,312;184,074
0,216615;181,382;189,503;188,121;187,919
0,218611;184,953;193,184;191,801;191,627
0,220608;188,579;196,919;195,564;195,381
0,222604;192,103;200,581;199,171;199,062
0,224601;195,637;204,207;202,797;202,751
0,226597;199,153;207,823;206,404;206,413
0,228594;202,65;211,458;209,957;210,057
0,23059;206,001;214,9;213,353;213,564
0,232586;209,297;218,288;216,722;217,015
0,234583;212,639;221,685;220,055;220,494
0,236579;215,917;225,063;223,342;223,9
0,238576;219,02;228,231;226,464;227,141
0,240572;222,142;231,408;229,54;230,401
0,242569;225,127;234,429;232,47;233,495
0,244565;228,121;237,487;235,399;236,635
0,246562;230,858;240,243;238,045;239,483
0,248558;233,568;242,953;240,627;242,321
0,250554;236,233;245,653;243,163;245,132
0,252551;238,677;248,07;245,425;247,704
0,254547;241,03;250,414;247,585;250,176
0,256544;243,163;252,511;249,471;252,41
0,25854;245,159;254,47;251,183;254,525
0,260537;247,274;256,521;252,996;256,732
0,262533;248,794;257,958;254,131;258,361
0,26453;250,332;259,423;255,294;260,009
0,266526;251,595;260,549;256,1;261,364
0,268523;252,676;261,501;256,677;262,545
0,270519;253,591;262,252;257,052;263,534
0,272515;254,113;262,591;256,942;264,147
0,274512;254,434;262,692;256,576;264,532
0,276508;254,424;262,454;255,862;264,605
0,278505;253,985;261,73;254,598;264,221
0,280501;253,426;260,861;253,17;263,708
0,282498;252,337;259,442;251,138;262,683
0,284494;250,909;257,647;248,684;261,3
0,286491;248,894;255,239;245,562;259,313
0,288487;246,505;252,364;241,973;256,942
0,290483;243,667;249,078;237,917;254,122
0,29248;240,334;245,223;233,303;250,799
0,294476;236,297;240,636;227,91;246,743
0,296473;231,6;235,363;221,859;242,01
0,298469;226,445;229,586;215,349;236,791
0,300466;220,76;223,287;208,382;231,023
0,302462;214,369;216,283;200,819;224,523
0,304459;207,494;208,794;192,955;217,455
0,306455;199,876;200,655;184,623;209,645
0,308452;192,085;192,406;176,402;201,579
0,310448;183,809;183,745;168,07;192,973
0,312444;175,505;175,193;160,05;184,257
0,314441;167,256;166,825;152,479;175,569
0,316437;158,952;158,549;145,164;166,78
0,318434;151,133;150,858;138,544;158,439
0,32043;143,882;143,818;132,621;150,675
0,322427;137,153;137,391;127,228;143,461
0,324423;131,211;131,769;122,577;137,07
0,32642;125,599;126,441;118,119;131,019
0,328416;120,81;121,946;114,347;125,901
0,330412;116,571;117,935;110,941;121,341
0,332409;112,781;114,365;107,874;117,276
0,334405;109,421;111,16;105,1;113,678
0,336402;106,326;108,185;102,444;110,382
0,338398;103,58;105,566;100,101;107,48
0,340395;101,154;103,214;97,9858;104,889
0,342391;98,8006;100,925;95,8984;102,408
0,344388;96,7498;98,9288;94,0581;100,229
0,346384;94,8272;96,9787;92,2362;98,1231
0,348381;93,0144;95,2209;90,5974;96,228
0,350377;91,2657;93,5088;89,0318;94,4152
0,352373;89,6635;92,0073;87,5578;92,7398
0,35437;88,1804;90,5241;86,1662;91,165
0,356366;86,7796;89,1325;84,8569;89,6727
0,358363;85,3788;87,7409;83,5386;88,217
0,360359;84,1337;86,4866;82,3667;86,9078
0,362356;82,9435;85,2873;81,2314;85,626
0,364352;81,8173;84,1703;80,1694;84,4358
0,366349;80,7004;83,0442;79,1073;83,2547
0,368345;79,6841;82,0096;78,1186;82,1836
0,370341;78,6679;80,9934;77,1298;81,0941
0,372338;77,7523;80,087;76,2692;80,1419
0,374334;76,791;79,1073;75,3445;79,1165
0,376331;75,9396;78,2376;74,5113;78,2193
0,378327;75,1156;77,4044;73,7148;77,3587
0,380324;74,3099;76,5805;72,9274;76,5072
0,38232;73,5409;75,7931;72,1767;75,6924
0,384317;72,7626;75,0423;71,4443;74,8775
0,386313;72,0577;74,3008;70,7393;74,1543
0,38831;71,4076;73,6416;70,1167;73,4859
0,390306;70,6844;72,9274;69,3935;72,6986
0,392302;70,0618;72,2866;68,7892;72,0394
0,394299;69,4392;71,6548;68,1849;71,3619
0,396295;68,8167;71,0323;67,5715;70,721
0,398292;68,2765;70,4555;67,0314;70,1442
0,400288;67,6722;69,8512;66,4454;69,5033
0,402285;67,1229;69,3111;65,9144;68,9357
0,404281;66,6102;68,8258;65,3925;68,3772
0,406278;66,07;68,2582;64,8707;67,8004
0,408274;65,594;67,7729;64,4038;67,306
0,41027;65,0904;67,2511;63,9094;66,7842
0,412267;64,6418;66,7842;63,4516;66,2989
0,414263;64,1474;66,2806;62,9572;65,7588
0,41626;63,6988;65,832;62,5269;65,2918
0,418256;63,2776;65,3925;62,1241;64,8524
0,420253;62,8565;64,9805;61,7029;64,4129
0,422249;62,4262;64,5319;61,2634;63,946
0,424246;62,0142;64,1108;60,8789;63,5065
0,426242;61,6205;63,7171;60,4852;63,1037
0,428239;61,2451;63,3326;60,1099;62,71
0,430235;60,8789;62,9572;59,7436;62,298
0,432231;60,5127;62,6001;59,3957;61,9135
0,434228;60,119;62,1973;59,0021;61,5106
0,436224;59,8077;61,8585;58,6908;61,1627
0,438221;59,4324;61,5015;58,3429;60,7782
0,440217;59,1028;61,1719;58,0133;60,4944
0,442214;58,7915;60,8606;57,7111;60,1373
0,44421;58,4527;60,5035;57,3632;59,7528
0,446207;58,1415;60,1923;57,0703;59,4232
0,448203;57,8393;59,8993;56,7773;59,1028
0,450199;57,5463;59,588;56,4843;58,8006
0,452196;57,2808;59,3408;56,228;58,526
0,454192;56,9238;58,9929;55,8801;58,1506
0,456189;56,6766;58,7274;55,6237;57,8851
0,458185;56,4019;58,4527;55,3674;57,5921
0,460182;56,1273;58,1872;55,111;57,3175
0,462178;55,8618;57,9217;54,8638;57,052
0,464175;55,5871;57,6471;54,5983;56,759
0,466171;55,3491;57,3907;54,3511;56,4843
0,468168;55,111;57,1618;54,1222;56,2554
0,470164;54,8547;56,8963;53,875;55,9808
0,47216;54,6166;56,6857;53,6736;55,761
0,474157;54,3603;56,4385;53,4173;55,5047
0,476153;54,1405;56,2005;53,2067;55,2575
0,47815;53,9025;55,9716;52,9961;55,0103
0,480146;53,6919;55,761;52,7581;54,7814
0,482143;53,4722;55,5596;52,575;54,5617
0,484139;53,2708;55,3399;52,3827;54,342
0,486136;53,0327;55,1293;52,163;54,1131
0,488132;52,8405;54,9371;51,9707;53,8933
0,490128;52,6482;54,7539;51,7967;53,6919
0,492125;52,4376;54,5617;51,6136;53,4813
0,494121;52,2362;54,3694;51,4122;53,2708
0,496118;52,0439;54,1955;51,2474;53,0968
0,498114;51,8517;54,0032;51,0552;52,8862
0,500111;51,6869;53,8567;50,9087;52,7306
0,502107;51,4946;53,637;50,7256;52,4926
0,504104;51,4122;53,4813;50,5699;52,3278
0,5061;51,22;53,344;50,4326;52,1721
0,508097;51,0185;53,1426;50,2586;51,9799
0,510093;50,8537;52,9961;50,0938;51,8151
0,512089;50,6706;52,8222;49,9474;51,6411
0,514086;50,4967;52,6665;49,8009;51,4763
0,516082;50,3777;52,575;49,7093;51,3664
0,518079;50,1579;52,3552;49,4987;51,1376
0,520075;50,0298;52,2454;49,398;51,0185
0,522072;49,865;52,0897;49,2515;50,8629
0,524068;49,7185;51,9615;49,1234;50,7164
0,526065;49,5903;51,8334;49,0043;50,5791
0,528061;49,4347;51,6869;48,8762;50,4234
0,530058;49,3065;51,5679;48,7663;50,2953
0,532054;49,1508;51,4397;48,6381;50,1396
0,53405;48,9952;51,2749;48,4916;49,9931
0,536047;48,9128;51,2108;48,4276;49,9016
0,538043;48,7572;51,0735;48,3085;49,7917
0,54004;48,6473;50,9728;48,1987;49,6727
0,542036;48,51;50,8263;48,0888;49,5079
0,544033;48,3909;50,7347;47,9973;49,398
0,546029;48,2902;50,6432;47,8965;49,2882
0,548026;48,1987;50,5608;47,8416;49,2058
0,550022;48,0888;50,4509;47,7226;49,0593
