V;B5 13071;C2 13071;D6 13071;E3 13071
0,550022;49,0867;48,986;51,9066;48,51
0,548026;45,6168;45,388;48,4001;44,7837
0,546029;44,2252;43,9048;46,862;43,2639
0,544033;43,3555;43,035;45,9464;42,3667
0,542036;42,6871;42,3575;45,2689;41,6983
0,54004;42,1195;41,7899;44,6372;41,1215
0,538043;41,4969;41,1856;43,9689;40,5081
0,536047;40,9842;40,6821;43,4104;40,0046
0,53405;40,499;40,1144;42,8611;39,4553
0,532054;40,1511;39,7299;42,4033;39,0616
0,530058;39,6567;39,263;41,8997;38,5763
0,528061;39,1806;38,8235;41,442;38,1094
0,526065;38,7961;38,4482;41,0117;37,8256
0,524068;38,3383;38,0179;40,5264;37,3495
0,522072;37,9446;37,6425;40,1419;36,9833
0,520075;37,5784;37,2946;39,7299;36,6354
0,518079;37,1939;36,91;39,3271;36,2692
0,516082;36,9375;36,6262;39,0158;35,9945
0,514086;36,4614;36,1593;38,5306;35,5367
0,512089;36,1868;35,8938;38,2376;35,2895
0,510093;35,8572;35,5734;37,908;34,9691
0,508097;35,5825;35,2438;37,5601;34,6304
0,5061;35,317;34,9416;37,2396;34,3374
0,504104;34,9508;34,612;36,8643;34,0078
0,502107;34,6578;34,3374;36,5805;33,7331
0,500111;34,3923;34,0993;36,3333;33,4768
0,498114;34,0719;33,7606;35,9579;33,1563
0,496118;33,8338;33,5317;35,7015;32,9183
0,494121;33,5317;33,257;35,436;32,6253
0,492125;33,2937;33,0465;35,1705;32,3873
0,490128;33,0282;32,781;34,8775;32,1309
0,488132;32,781;32,5246;34,612;31,8746
0,486136;32,5429;32,314;34,3648;31,6548
0,484139;32,3232;32,0943;34,136;31,426
0,482143;32,0485;31,8105;33,8338;31,1604
0,480146;31,8105;31,5908;33,6049;30,9316
0,47815;31,5908;31,3802;33,3761;30,7118
0,476153;31,4168;31,1971;33,1563;30,5196
0,474157;31,2428;30,9682;32,9183;30,309
0,47216;31,0323;30,7851;32,7352;30,1259
0,470164;30,7485;30,5287;32,4697;29,8787
0,468168;30,5837;30,3639;32,2683;29,7139
0,466171;30,3456;30,1259;32,0027;29,4759
0,464175;30,1625;29,9519;31,8105;29,3202
0,462178;29,9794;29,778;31,6365;29,1737
0,460182;29,7688;29,5674;31,3893;28,9448
0,458185;29,5857;29,3751;31,1879;28,7526
0,456189;29,4301;29,1829;30,9957;28,5695
0,454192;29,247;29,0089;30,8034;28,4047
0,452196;29,1371;28,9174;30,6752;28,3131
0,450199;28,8624;28,6427;30,4005;28,0293
0,448203;28,7251;28,4871;30,2449;27,9011
0,446207;28,5695;28,3314;30,0618;27,7272
0,44421;28,4138;28,1758;29,897;27,5807
0,442214;28,2856;28,0201;29,7322;27,4617
0,440217;28,0751;27,8187;29,5033;27,2328
0,438221;27,9652;27,6631;29,3568;27,1046
0,436224;27,8279;27,5166;29,192;26,9856
0,434228;27,6356;27,3426;29,0089;26,7933
0,432231;27,5257;27,2511;28,8899;26,7109
0,430235;27,3152;27,0314;28,6702;26,5095
0,428239;27,1687;26,9215;28,5237;26,3722
0,426242;27,0222;26,7659;28,3406;26,1982
0,424246;26,8849;26,6285;28,2216;26,0883
0,422249;26,775;26,5187;28,0842;25,9785
0,420253;26,6285;26,3722;27,9377;25,8412
0,418256;26,4546;26,1891;27,7272;25,6489
0,41626;26,2989;26,0334;27,599;25,5116
0,414263;26,1891;25,9236;27,4525;25,4017
0,412267;26,0883;25,8228;27,3426;25,3193
0,41027;25,8961;25,6397;27,1229;25,1362
0,408274;25,7588;25,5116;26,9947;25,0172
0,406278;25,5848;25,3376;26,8208;24,8432
0,404281;25,5116;25,2552;26,7292;24,7608
0,402285;25,3376;25,0629;26,5553;24,596
0,400288;25,2003;24,9439;26,3996;24,4678
0,398292;25,0813;24,8249;26,2806;24,3763
0,396295;24,9073;24,6418;26,0883;24,184
0,394299;24,8341;24,5319;25,9693;24,0742
0,392302;24,6967;24,4038;25,832;23,9551
0,390306;24,5136;24,239;25,6764;23,8087
0,38831;24,4404;24,1566;25,5848;23,7354
0,386313;24,1932;23,9094;25,3468;23,4882
0,384317;24,0742;23,827;25,2461;23,4241
0,38232;23,9551;23,6896;25,127;23,2868
0,380324;23,7812;23,5431;24,9714;23,1495
0,378327;23,6347;23,415;24,8249;23,0121
0,376331;23,4607;23,2227;24,6418;22,8473
0,374334;23,3234;23,0945;24,5045;22,7375
0,372338;23,1952;22,9755;24,3946;22,6368
0,370341;22,9572;22,7466;24,184;22,4445
0,368345;22,829;22,6276;24,065;22,3346
0,366349;22,6276;22,4353;23,8911;22,1607
0,364352;22,4628;22,298;23,7629;22,0417
0,362356;22,2522;22,0966;23,5523;21,8402
0,360359;22,0691;21,9226;23,4058;21,6938
0,358363;21,8677;21,7578;23,2319;21,529
0,356366;21,6938;21,593;23,0579;21,3825
0,35437;21,4374;21,3642;22,829;21,1719
0,352373;21,1994;21,1536;22,6368;20,9796
0,350377;20,9796;20,9613;22,4628;20,7965
0,348381;20,7416;20,7507;22,2705;20,5859
0,346384;20,4852;20,5035;22,0417;20,3662
0,344388;20,2747;20,2747;21,8311;20,174
0,342391;19,9451;20,0092;21,5656;19,881
0,340395;19,6979;19,7986;21,3825;19,7162
0,338398;19,3317;19,469;21,0712;19,3957
0,336402;19,057;19,2126;20,8423;19,1485
0,334405;18,764;18,9654;20,6134;18,9105
0,332409;18,352;18,6084;20,3021;18,5718
0,330412;17,995;18,2879;19,9817;18,2422
0,328416;17,6196;17,9492;19,6704;17,9126
0,32642;17,1984;17,5921;19,3408;17,5738
0,324423;16,8872;17,3266;19,0112;17,3175
0,322427;16,3104;16,7956;18,526;16,7956
0,32043;15,8709;16,4202;18,2055;16,4385
0,318434;15,3674;15,9808;17,821;16,0082
0,316437;14,8821;15,5505;17,4731;15,5871
0,314441;14,3969;15,1202;17,1069;15,2026
0,312444;13,7469;14,5342;16,5576;14,5983
0,310448;13,1243;14,0032;16,0815;14,0948
0,308452;12,5566;13,4905;15,6237;13,6004
0,306455;11,8242;12,8496;15,0286;12,9412
0,304459;11,2291;12,3186;14,5708;12,4559
0,302462;10,4326;11,6045;13,9208;11,7327
0,300466;9,65438;10,9178;13,3349;11,0735
0,298469;8,79377;10,1488;12,5933;10,3136
0,296473;7,97894;9,43465;11,9341;9,58114
0,294476;7,15496;8,72969;11,2932;8,90364
0,29248;6,19364;7,87823;10,5516;8,07965
0,290483;5,14992;6,91691;9,71847;7,12749
0,288487;2,14557;5,96475;8,76631;6,20279
0,286491;1,1696;5,0309;7,92401;5,25063
0,284494;0,399634;1,94781;7,09087;2,0824
0,282498;-0,707256;0,905928;6,06546;1,06523
0,280501;-1,86267;0,128634;5,07668;0,327306
0,278505;-3,22225;-0,984665;1,93591;-0,770428
0,276508;-4,43076;-2,0119;1,00572;-1,7821
0,274512;-5,87549;-3,27535;0,132296;-3,05653
0,272515;-7,36416;-4,62211;-0,959945;-4,38407
0,270519;-8,86839;-5,96979;-2,12451;-5,75097
0,268523;-10,5365;-7,51614;-3,49233;-7,29274
0,266526;-12,2119;-9,04967;-4,86198;-8,81346
0,26453;-13,9149;-10,6006;-6,24994;-10,379
0,262533;-15,7597;-12,3035;-7,80911;-12,0957
0,260537;-17,4745;-13,8956;-9,24468;-13,6942
0,25854;-19,6333;-15,919;-11,1041;-15,7459
0,256544;-21,5761;-17,7455;-12,7942;-17,5523
0,254547;-23,5866;-19,6306;-14,4898;-19,4356
0,252551;-25,7427;-21,6612;-16,3658;-21,4681
0,250554;-27,9208;-23,7157;-18,2591;-23,5427
0,248558;-29,5949;-25,9469;-20,3465;-25,7949
0,246562;-31,8196;-28,1488;-22,3891;-28,0151
0,244565;-34,0902;-29,5949;-24,4427;-29,4301
0,242569;-36,6262;-31,957;-26,737;-31,8105
0,240572;-39,1073;-34,2641;-28,9252;-34,1543
0,238576;-41,735;-36,7727;-30,5837;-36,6812
0,236579;-44,3717;-39,2538;-32,8267;-39,1897
0,234583;-47,1366;-41,9455;-35,2804;-41,9272
0,232586;-49,9748;-44,6647;-37,8164;-44,7013
0,23059;-52,813;-47,393;-40,3525;-47,4662
0,228594;-55,6695;-50,1762;-42,9435;-50,2861
0,226597;-58,7366;-53,1426;-45,745;-53,3257
0,224601;-61,7853;-56,1273;-48,5008;-56,3745
0,222604;-64,8798;-59,176;-51,3756;-59,4781
0,220608;-68,0018;-62,2431;-54,2779;-62,6093
0,218611;-71,2154;-65,4108;-57,3083;-65,8503
0,216615;-74,4381;-68,5878;-60,293;-69,0822
0,214618;-77,7798;-71,8746;-63,415;-72,4605
0,212622;-81,0391;-75,1339;-66,5003;-75,7839
0,210625;-84,509;-78,5946;-69,7871;-79,3271
0,208629;-87,9149;-82,0005;-73,019;-82,797
0,206633;-91,284;-85,3696;-76,2692;-86,2486
0,204636;-94,8547;-88,9494;-79,7024;-89,9199
0,20264;-98,3978;-92,5017;-83,0991;-93,5821
0,200643;-101,996;-96,1181;-86,5599;-97,29
0,198647;-105,594;-99,7436;-90,0298;-100,998
0,19665;-109,027;-103,186;-93,344;-104,523
0,194654;-112,863;-107,086;-97,0886;-108,505
0,192657;-116,526;-110,767;-100,659;-112,305
0,190661;-120,215;-114,502;-104,257;-116,15
0,188665;-123,896;-118,238;-107,883;-119,995
0,186668;-127,503;-121,918;-111,453;-123,767
0,184672;-131,339;-125,8;-115,244;-127,796
0,182675;-135,093;-129,609;-119,007;-131,714
0,180679;-138,801;-133,399;-122,687;-135,587
0,178682;-142,609;-137,281;-126,505;-139,615
0,176686;-146,198;-140,952;-130,066;-143,369
0,174689;-149,989;-144,816;-133,893;-147,388
0,172693;-153,724;-148,634;-137,638;-151,289
0,170696;-157,496;-152,506;-141,456;-155,28
0,1687;-161,176;-156,278;-145,2;-159,171
0,166704;-164,775;-159,977;-148,881;-162,962
0,164707;-168,373;-163,685;-152,561;-166,798
0,162711;-172,053;-167,485;-156,361;-170,716
0,160714;-175,724;-171,275;-160,105;-174,626
0,158718;-179,249;-174,91;-163,74;-178,325
0,156721;-182,646;-178,398;-167,274;-181,923
0,154725;-186,152;-182,042;-170,964;-185,64
0,152728;-189,567;-185,548;-174,534;-189,265
0,150732;-193,001;-189,11;-178,151;-192,909
0,148736;-196,168;-192,424;-181,538;-196,342
0,146739;-199,419;-195,766;-184,999;-199,776
0,144743;-202,568;-199,034;-188,414;-203,154
0,142746;-205,571;-202,147;-191,691;-206,377
0,14075;-208,656;-205,351;-195,033;-209,7
0,138753;-211,513;-208,318;-198,238;-212,767
0,136757;-214,205;-211,138;-201,241;-215,669
0,13476;-216,905;-213,957;-204,317;-218,599
0,132764;-219,313;-216,457;-207,063;-221,181
0,130767;-221,895;-219,167;-210,085;-223,973
0,128771;-224,129;-221,501;-212,758;-226,4
0,126775;-226,217;-223,69;-215,285;-228,688
0,124778;-228,176;-225,731;-217,748;-230,794
0,122782;-229,943;-227,617;-220,092;-232,744
0,120785;-231,591;-229,375;-222,325;-234,557
0,118789;-232,946;-230,803;-224,321;-236,068
0,116792;-234,026;-231,948;-226,043;-237,24
0,114796;-235,042;-233,065;-227,8;-238,402
0,112799;-235,637;-233,733;-229,155;-239,126
0,110803;-236,059;-234,246;-230,401;-239,648
0,108807;-236,114;-234,374;-231,334;-239,794
0,10681;-235,93;-234,228;-232,058;-239,675
0,104814;-235,344;-233,733;-232,461;-239,199
0,102817;-234,401;-232,863;-232,552;-238,302
0,100821;-232,973;-231,545;-232,268;-236,965
0,0988243;-231,261;-229,888;-231,737;-235,271
0,0968278;-229,055;-227,764;-230,758;-233,083
0,0948314;-226,363;-225,173;-229,43;-230,437
0,0928349;-223,168;-222,097;-227,654;-227,242
0,0908385;-219,478;-218,553;-225,457;-223,598
0,088842;-215,193;-214,424;-222,737;-219,368
0,0868456;-210,478;-209,883;-219,606;-214,708
0,0848491;-205,068;-204,683;-215,834;-209,361
0,0828527;-199,336;-199,208;-211,714;-203,694
0,0808562;-192,992;-193,156;-206,908;-197,423
0,0788598;-186,207;-186,647;-201,534;-190,703
0,0768633;-179,249;-180,046;-195,839;-183,836
0,0748669;-172,062;-173,198;-189,641;-176,722
0,0728704;-164,793;-166,258;-183,04;-169,48
0,070874;-157,679;-159,4;-176,155;-162,33
0,0688775;-150,657;-152,616;-168,995;-155,235
0,0668811;-144,257;-146,436;-162,055;-148,789
0,0648846;-138,16;-140,494;-155,143;-142,573
0,0628882;-132,621;-135,038;-148,368;-136,86
0,0608917;-127,539;-130,021;-142,115;-131,623
0,0588953;-122,916;-125,415;-136,127;-126,807
0,0568988;-118,961;-121,433;-130,835;-122,66
0,0549024;-115,317;-117,762;-125,946;-118,824
0,0529059;-112,003;-114,392;-120,719;-115,335
0,0509095;-109,1;-111,426;-116,507;-112,25
0,048913;-106,336;-108,606;-113,22;-109,32
0,0469166;-103,909;-106,143;-110,446;-106,757
0,0449201;-101,621;-103,818;-107,81;-104,331
0,0429237;-99,5697;-101,721;-105,411;-102,152
0,0409272;-97,5738;-99,6979;-103,076;-100,037
0,0389308;-95,697;-97,7661;-100,861;-98,0407
0,0369343;-93,9666;-96,0174;-98,8464;-96,228
0,0349379;-92,3827;-94,4152;-96,9696;-94,5525
0,0329414;-90,8629;-92,8496;-95,2026;-92,9595
0,030945;-89,398;-91,3573;-93,4905;-91,3939
0,0289485;-87,9789;-89,9016;-91,87;-89,9016
0,0269521;-86,7155;-88,6015;-90,3502;-88,5832
0,0249556;-85,452;-87,3198;-88,8762;-87,2374
0,0229592;-84,3076;-86,1662;-87,5944;-86,0472
0,0209627;-83,0991;-84,921;-86,2486;-84,7745
0,0189663;-82,0279;-83,8224;-85,0492;-83,6576
0,0169698;-80,9934;-82,7878;-83,8865;-82,5498
0,0149734;-79,968;-81,7166;-82,7604;-81,4786
0,0129769;-79,0341;-80,7919;-81,7258;-80,5173
0,0109805;-78,0911;-79,8306;-80,6729;-79,5377
0,00898402;-77,1847;-78,9151;-79,6841;-78,5763
0,00698757;-76,3241;-78,0453;-78,7228;-77,6974
0,00499112;-75,4635;-77,1389;-77,7615;-76,7727
0,00299467;-74,7585;-76,4248;-76,9558;-76,022
0,000998224;-73,9254;-75,5734;-76,0494;-75,1705
-0,000998226;-73,1746;-74,8135;-75,0057;-74,3832
-0,00299468;-72,4605;-74,081;-74,255;-73,6324
-0,00499113;-71,7372;-73,3394;-73,5683;-72,8725
-0,00698758;-71,1055;-72,6894;-72,9091;-72,2042
-0,00898403;-70,4372;-72,0027;-72,1859;-71,4992
-0,0109805;-69,7505;-71,3161;-71,4717;-70,7942
-0,0129769;-69,1829;-70,7393;-70,8675;-70,2083
-0,0149734;-68,5512;-70,0893;-70,1808;-69,5399
-0,0169698;-67,9927;-69,5033;-69,5674;-68,954
-0,0189663;-67,425;-68,9265;-68,9357;-68,3406
-0,0209627;-66,9123;-68,368;-68,3497;-67,7729
-0,0229592;-66,3813;-67,837;-67,7821;-67,2236
-0,0249556;-65,8412;-67,2969;-67,2145;-66,6743
-0,0269521;-65,3193;-66,7475;-66,6468;-66,1158
-0,0289485;-64,8615;-66,2898;-66,1524;-65,6489
-0,030945;-64,3854;-65,7954;-65,6306;-65,1362
-0,0329414;-63,9185;-65,3193;-65,127;-64,6418
-0,0349379;-63,4516;-64,8341;-64,6143;-64,1474
-0,0369343;-63,0121;-64,3946;-64,1382;-63,6988
-0,0389308;-62,5727;-63,9185;-63,653;-63,2227
-0,0409272;-62,179;-63,5157;-63,2319;-62,829
-0,0429237;-61,7212;-63,0671;-62,7558;-62,3529
-0,0449201;-61,355;-62,6917;-62,3438;-61,9501
-0,0469166;-60,9339;-62,2614;-61,9135;-61,5198
-0,048913;-60,5219;-61,8585;-61,474;-61,0895
-0,0509095;-60,1831;-61,4923;-61,0986;-60,7324
-0,0529059;-59,7894;-61,117;-60,6958;-60,3388
-0,0549024;-59,4232;-60,7324;-60,3113;-59,9634
-0,0568988;-59,0661;-60,3662;-59,9176;-59,5789
-0,0588953;-58,645;-59,9542;-59,4873;-59,1577
-0,0608917;-58,3886;-59,707;-59,2126;-58,883
-0,0628882;-58,0316;-59,3225;-58,8373;-58,5168
-0,0648846;-57,6837;-58,9929;-58,4802;-58,1689
-0,0668811;-57,3541;-58,6725;-58,114;-57,821
-0,0688775;-57,0245;-58,3154;-57,7752;-57,464
-0,070874;-56,7498;-58,0591;-57,4823;-57,2076
-0,0728704;-56,4294;-57,7295;-57,1435;-56,8597
-0,0748669;-56,1181;-57,4182;-56,8139;-56,5301
-0,0768633;-55,8251;-57,1344;-56,5118;-56,2554
-0,0788598;-55,4864;-56,7956;-56,1639;-55,8984
-0,0808562;-55,2483;-56,5576;-55,9075;-55,6512
-0,0828527;-54,9554;-56,2646;-55,5962;-55,3582
-0,0848491;-54,699;-55,9808;-55,3307;-55,0835
-0,0868456;-54,4152;-55,697;-55,0286;-54,7814
-0,088842;-54,1314;-55,4131;-54,7173;-54,4884
-0,0908385;-53,8567;-55,1476;-54,4518;-54,2321
-0,0928349;-53,637;-54,9096;-54,2138;-54,0032
-0,0948314;-53,3806;-54,6715;-53,9483;-53,7285
-0,0968278;-53,1151;-54,3786;-53,6736;-53,463
-0,0988243;-52,8405;-54,1039;-53,3715;-53,1792
-0,100821;-52,6482;-53,9117;-53,1334;-52,9686
-0,102817;-52,4102;-53,6736;-52,8862;-52,7123
-0,104814;-52,1813;-53,4539;-52,6757;-52,5017
-0,10681;-51,9158;-53,1792;-52,4102;-52,2179
-0,108807;-51,7144;-52,9778;-52,1904;-52,0073
-0,110803;-51,4855;-52,7581;-51,9524;-51,7876
-0,112799;-51,2657;-52,5017;-51,7052;-51,5312
-0,114796;-51,0735;-52,3278;-51,5129;-51,3573
-0,116792;-50,8446;-52,0806;-51,2657;-51,1101
-0,118789;-50,634;-51,8791;-51,046;-50,8995
-0,120785;-50,4784;-51,6869;-50,8629;-50,6981
-0,122782;-50,2495;-51,4214;-50,5882;-50,4417
-0,124778;-50,1305;-51,3115;-50,4509;-50,3227
-0,126775;-49,8833;-51,0552;-50,2129;-50,0664
-0,128771;-49,691;-50,8537;-50,0023;-49,8741
-0,130767;-49,5171;-50,6889;-49,81;-49,691
-0,132764;-49,3248;-50,4875;-49,6178;-49,4896
-0,13476;-49,1875;-50,3227;-49,4347;-49,3156
-0,136757;-48,9769;-50,1122;-49,2241;-49,1142
-0,138753;-48,7846;-49,9016;-49,0135;-48,9036
-0,14075;-48,6748;-49,7826;-48,8853;-48,7755
