,corrente_anodica,corrente_catodica,carga,diff_corrente_anodica_catodica,diff_pot_anodico_catodico,pico_derivada_anodica,pico_derivada_catodica,target
0,111.2062454,-128.0704975,582.0265800706915,239.2767429,0.20563441899999998,84.76374778756116,-89.00092611772804,1
1,117.4777031,-132.8313112,554.6365727230494,250.3090143,0.19964515,88.42673319181011,-92.06048018724175,1
2,111.9844437,-133.4172606,636.9002525071058,245.4017043,0.19365589299999997,87.22172106959464,-93.73105349529891,1
3,114.8318,-148.762,497.1576778384442,263.5938,0.187666249,96.15194893666455,-108.130415000632,1
4,100.7416,-122.019,609.3281945144192,222.7606,0.18367341199999998,83.01520674947561,-90.55657058583334,1
5,101.9135,-120.462,638.8865974328369,222.3755,0.18167698,84.84775836155467,-89.78270188518745,1
6,106.8482399,-125.1132965,581.4325125882197,231.9615364,0.17568773399999998,87.31131759703243,-93.2861643081918,1
7,97.66538143,-113.6140943,552.9305706888374,211.27947573,0.207630828,76.02672871759864,-82.30625207654279,1
8,97.48225212,-108.8624358,619.911424722043,206.34468792,0.173690915,80.74264521027837,-83.34140441673127,1
9,110.0252,-132.63,592.5756407083558,242.65519999999998,0.19964477,82.31262307218618,-90.24312831137726,1
10,111.0506,-133.335,581.4305239611222,244.3856,0.197648749,84.18879557544741,-91.22110608371914,1
11,115.8389,-130.542,636.9500866292583,246.3809,0.20363800600000004,86.05665512869695,-89.61211934510399,1
12,119.1989,-133.921,690.966308468046,253.11989999999997,0.213620105,87.12113908618298,-89.87559436902356,1
13,117.9996,-135.413,663.8019117045817,253.4126,0.20563402,87.4758598110867,-91.85779438092818,1
14,93.20454597,-102.5797009,693.5257355715016,195.78424687,0.17568772300000002,67.68245175243987,-72.02739237342456,1
15,85.11066437,-98.50463867,609.3132332757401,183.61530304000001,0.18167698399999999,65.56774287739157,-71.61675269121724,1
16,90.75450897,-103.154707,605.3447605696405,193.90921597,0.187666245,72.4083050789798,-71.38180784847607,1
17,126.4238119,-134.8989487,536.6568895157724,261.32276060000004,0.191659089,93.42663306451293,-96.05960535274805,1
18,118.3299303,-122.4925041,523.2841900558914,240.82243440000002,0.20763084599999998,84.47560898721619,-82.95225285223513,1
19,101.5171766,-113.9611244,573.6178402127324,215.478301,0.195652324,76.60264113784389,-79.04987605500631,1
20,119.7112083,-137.3552322,547.6082697044055,257.0664405,0.20164158599999998,90.4970775802834,-93.57563504943313,1
21,128.5050869,-151.7554522,497.0626830639278,280.2605391,0.201641597,102.23293000536339,-101.72642846348755,1
22,124.1487741,-140.8427835,534.4803311952121,264.99155759999996,0.201641578,95.49558341007874,-97.48897276512567,1
23,110.686,-126.424,541.5201032509866,237.11,0.197648745,82.99219854444202,-85.12177891921677,1
24,96.5609,-120.049,607.3016007887999,216.6099,0.17369131,78.71054241606522,-89.86676918758798,1
25,107.705,-119.211,615.5401815751045,226.916,0.181676988,82.99283883437616,-85.48051150241501,1
26,103.217196464539,-127.223825454712,502.33201360796875,230.441021919251,0.17800283432006792,84.52594486743975,-93.54188623048641,0
27,87.4919652938843,-113.873624801636,533.6668854288702,201.3655900955203,0.1780023574829098,71.0731968620837,-80.61716599470385,0
28,96.8796014785767,-117.229914665222,536.7775433259751,214.10951614379871,0.1780023574829098,79.26296973823138,-85.28661730772444,0
29,87.7732276916504,-113.492369651794,525.974292474768,201.2655973434444,0.178002834320068,72.82723817208215,-81.75747203714968,0
30,89.4044876098633,-113.973617553711,527.5055213286686,203.37810516357428,0.1860032081604,71.87356308979014,-81.88142472453927,0
31,90.7857656478882,-109.779810905457,556.7171193782322,200.56557655334518,0.182003021240234,74.18829167343135,-81.88125494063937,0
32,86.7106914520264,-107.336020469666,568.639538797524,194.0467119216924,0.170002460479736,71.77489556190375,-79.76199348240364,0
33,82.4668884277344,-111.367332935333,643.6106052193625,193.8342213630674,0.16400241851806602,69.61312223667736,-85.45277136194287,0
34,90.3419971466064,-113.154864311218,555.5826512268138,203.49686145782442,0.16600227355956987,74.72709381245723,-82.80267427226866,0
35,85.9106779098511,-113.492369651794,610.7782619870707,199.4030475616451,0.168002605438232,69.76247206702726,-83.27355509751477,0
36,79.0168285369873,-105.560994148254,623.1656377739005,184.5778226852413,0.17800283432006797,64.6262823743137,-75.02421533922313,0
37,84.360671043396,-111.979842185974,678.1692846962591,196.34051322937,0.1840028762817379,66.67463272543303,-79.8647305688248,0
38,99.4858980178833,-131.236386299133,527.1714281563077,230.7222843170163,0.18000268936157182,81.56423837087411,-93.89359024891894,0
39,98.3296155929565,-120.998728275299,552.9697987451725,219.3283438682555,0.1860027313232418,80.70559027727985,-83.8993793088844,0
40,97.0108509063721,-120.573723316193,585.9584676058375,217.5845742225651,0.1740026473999019,79.74078683971084,-88.64359713485337,0
41,94.7670698165894,-121.492481231689,520.1020921484483,216.2595510482784,0.1940026283264158,75.00668588174243,-88.27258417123568,0
42,100.448417663574,-141.505289077759,615.2259704769967,241.953706741333,0.2100033760070798,75.99663494175553,-95.2699360080877,0
43,98.3358860015869,-137.023973464966,710.5441421137336,235.3598594665529,0.1920027732849118,76.10947423776949,-93.58766610471444,0
44,97.1171140670776,-131.367635726929,699.7032457060319,228.48474979400658,0.17800283432006797,78.33510455590978,-93.92586956930577,0
45,95.8733320236206,-118.804943561554,251.204813039932,214.67827558517462,0.1760029792785641,74.84106297684984,-83.31295894841202,0
46,86.98570728302,-106.492257118225,651.6458438520842,193.477964401245,0.182003021240234,69.40395302941387,-78.11200263321687,0
47,90.9107685089111,-105.567240715027,619.2840272170317,196.4780092239381,0.1680026054382319,74.44735725903074,-78.61845658336601,0
48,0.0,-94.092071056366,645.1284679606422,0.0,0.0,62.479351307606194,-69.09553658244391,0
49,74.9542713165283,-92.8857922554016,650.7051393956472,167.8400635719299,0.1740026473999021,62.176276709461646,-71.23602963061312,0
50,93.5795545578003,-142.099046707153,703.9290379558496,235.6786012649533,0.19200325012206998,77.37807147831671,-99.5761416794453,0
51,0.0,-129.023849964142,629.4463976571658,0.0,0.0,65.45516802760197,-90.57248493779375,0
52,107.623529434204,-130.686378479004,546.4507810683986,238.309907913208,0.1880030632019038,82.72970830461858,-88.6111734177793,0
53,85.1669311523438,-104.910981655121,686.5944882920733,190.07791280746483,0.1880025863647457,67.80408272072762,-74.66170967968098,0
54,85.0419282913208,-109.342300891876,665.7824971322392,194.3842291831968,0.1920032501220698,64.28398373835371,-73.56489465896385,0
